,Reporter country,Partner country,FLOW,Value,PeopleTrust,FamilyTrust,NeighborTrust,PersonalTrust,OtherCountryTrust,GDP,Country Trade Percent of GDP,English Rate,Bilateral Trust,Net FDI,Net FDI % GDP,Portfolio equity,PartnerGDP,Distance,Capital City,Law Origins,Rel_sim
46,Belgium,France,EXP,73321058224,,,,,,533382785676.06396,0.1374642380538498,0.71,0.530826250442,-48286,-9.2,7672,2.82919203917e+12,164.0,Paris,1.0,0.380789473684
47,Belgium,France,EXP,73321058224,,,,,,533382785676.06396,0.1374642380538498,0.71,0.530826250442,-48286,-9.2,7672,2.82919203917e+12,164.0,Paris,1.0,0.380789473684
48,Belgium,Germany,EXP,79757457327,,,,,,533382785676.06396,0.14953136746981294,0.71,0.462469545769,-48286,-9.2,7672,3.85255616966e+12,405.0,Berlin,0.0,0.261272015656
49,Belgium,Germany,EXP,79757457327,,,,,,533382785676.06396,0.14953136746981294,0.71,0.462469545769,-48286,-9.2,7672,3.85255616966e+12,405.0,Berlin,0.0,0.261272015656
50,Belgium,Greece,EXP,1665279335,,,,,,533382785676.06396,0.0031221092613426854,0.71,0.366433682044,-48286,-9.2,7672,2.37592274371e+11,1300.0,Athens,0.0,0.00065
51,Belgium,Greece,EXP,1665279335,,,,,,533382785676.06396,0.0031221092613426854,0.71,0.366433682044,-48286,-9.2,7672,2.37592274371e+11,1300.0,Athens,0.0,0.00065
52,Belgium,Hungary,EXP,2295426658,,,,,,533382785676.06396,0.00430352594729982,0.71,0.257841329559,-48286,-9.2,7672,1.37103927313e+11,702.0,Budapest,1.0,0.3804578564
53,Belgium,Hungary,EXP,2295426658,,,,,,533382785676.06396,0.00430352594729982,0.71,0.257841329559,-48286,-9.2,7672,1.37103927313e+11,702.0,Budapest,1.0,0.3804578564
54,Belgium,Ireland,EXP,2171822906,,,,,,533382785676.06396,0.004071790399548064,0.71,0.48679362376,-48286,-9.2,7672,2.45920712756e+11,482.0,Dublin,0.0,0.52172
55,Belgium,Ireland,EXP,2171822906,,,,,,533382785676.06396,0.004071790399548064,0.71,0.48679362376,-48286,-9.2,7672,2.45920712756e+11,482.0,Dublin,0.0,0.52172
56,Belgium,Italy,EXP,21010335704,,,,,,533382785676.06396,0.039390727013001274,0.71,0.33127562592,-48286,-9.2,7672,2.14433818506e+12,730.0,Rome,1.0,0.540029673591
57,Belgium,Italy,EXP,21010335704,,,,,,533382785676.06396,0.039390727013001274,0.71,0.33127562592,-48286,-9.2,7672,2.14433818506e+12,730.0,Rome,1.0,0.540029673591
58,Belgium,Luxembourg,EXP,7945811075,,,,,,533382785676.06396,0.014897014467627907,0.71,0.772019329852,-48286,-9.2,7672,60130847623.6,116.0,Luxembourg,1.0,0.46722
